# OurAirports public-domain runway data; simulation reference only. 2026-09-22
# Source: https://raw.githubusercontent.com/davidmegginson/ourairports-data/main/runways.csv
# Format: AIRPORT/RUNWAY latitude longitude elevation_ft true_course
2TA8/13 26.8644009 -98.2283020 196.00 133.000
2W2/14 39.4679794 -77.0191436 766.99 125.000
2W2/32 39.4660361 -77.0155104 793.11 305.000
2XA0/17 33.9832993 -99.7127991 1479.00 180.000
30M/19 34.6624985 -90.3757019 195.00 212.900
30NE/17 40.3593178 -98.6857986 2044.00 180.000
30NE/35 40.3521805 -98.6858368 2075.00 0.000
31VA/02 37.0122986 -76.5911026 23.00 13.000
31VA/20 37.0280991 -76.5867004 29.00 359.900
33C/27 43.0812008 -86.0936705 634.00 254.100
33VT/20 44.1205559 -72.5647202 1350.00 200.000
34G/36 41.9653263 -83.9236780 820.00 354.300
35C/36 43.1251488 -85.5067901 890.00 262.000
35XA/12 30.8350315 -94.9437180 240.00 119.000
35XA/30 30.8330860 -94.9396439 267.00 299.000
36MI/13 42.0365982 -83.8835983 789.00 125.000
36MI/31 42.0298996 -83.8706970 794.00 305.000
36MI/25 42.0371017 -83.8725967 794.00 243.000
38C/18 43.6111670 -85.4925003 889.00 180.000
38C/36 43.6030998 -85.4925003 889.00 336.200
39G/27 43.0301018 -82.6653976 726.00 252.000
39MD/27 38.2751389 -76.7209167 15.00 266.000
3A9/32 44.3899002 -97.1203995 1810.00 309.300
3B3/16 42.4287851 -71.7962423 458.51 140.000
3B3/34 42.4236630 -71.7904204 450.62 314.700
3C1/21 41.6596652 -86.0328868 750.45 328.300
3D2/14 45.1380005 -87.1894989 762.00 136.000
3D2/32 45.1327019 -87.1822968 750.00 316.000
3DA/18 43.0509875 -83.8039521 733.00 181.000
3DA/36 43.0483129 -83.8039504 733.00 1.000
3EX/01 39.3353004 -94.1987991 992.00 27.000
3EX/19 39.3401985 -94.1956024 990.00 207.000
3G8/27 41.4400538 -90.1063910 635.00 295.400
3KS2/18 37.0632820 -96.9987946 1166.00 178.000
3KS2/36 37.0576553 -96.9986267 1139.00 359.000
3KS9/17 37.7323265 -101.1955414 3091.00 179.000
3KS9/35 37.7219009 -101.1952820 3080.00 359.000
3LA4/12 29.8026295 -92.8088608 2.00 122.000
3LA4/30 29.7967339 -92.7982101 7.00 302.000
3ND6/27 47.2419167 -99.8958359 1945.00 277.000
3NE5/11 40.9491420 -96.2066120 1142.00 118.000
3NE5/29 40.9459610 -96.1985860 1165.00 298.000
3O5/16 34.3731003 -98.4067001 1058.00 174.000
3O5/34 34.3652000 -98.4057007 1058.00 354.000
3R8/20 38.6612015 -85.7886963 600.00 257.000
3S2/12 44.5153999 -70.4097977 418.00 121.000
3S2/30 44.5129013 -70.4038010 418.00 301.000
3TA0/18 30.1019001 -100.4029999 2241.00 190.000
3TE/18 42.0267624 -83.9390519 807.60 179.000
3TE/36 42.0230722 -83.9390352 799.82 359.000
3W2/21 41.6385060 -82.8268475 593.54 214.000
3X5/01 41.7154999 -82.8212967 594.00 2.000
3X5/19 41.7205009 -82.8209991 587.00 182.000
3Y7/31 45.3863983 -101.4339981 2383.00 232.000
40C/20 42.2037519 -86.2514423 656.00 266.000
42C/36 43.5544014 -85.7757034 915.00 277.000
42IA/18 42.2644997 -96.2897034 1071.00 180.000
42IA/36 42.2584000 -96.2897034 1069.00 0.000
42TT/14 30.4580212 -95.2336731 250.00 134.000
42TT/32 30.4531631 -95.2279205 240.00 314.000
42XA/15 31.3645992 -97.0916977 472.00 153.000
42XA/33 31.3600006 -97.0888977 458.00 333.000
43MI/36 45.8566330 -87.1177440 720.00 210.000
43MN/15 46.9379997 -92.4166031 1367.00 147.000
43MN/33 46.9300003 -92.4088974 1385.00 327.000
43MT/13 47.9927677 -115.7529003 2301.00 145.000
43MT/31 47.9904990 -115.7506081 2301.00 325.000
43Y/20 47.8916016 -94.2591019 1420.00 340.000
43Y/30 47.8851013 -94.2518997 1427.00 233.000
44G/09 41.8551186 -83.8739765 691.00 89.000
44G/27 41.8550987 -83.8674326 691.00 270.000
44SC/20 33.4863892 -80.7755585 184.00 196.000
44XA/19 27.8413887 -97.7708359 72.00 191.000
45CN/09 37.8633995 -120.1839981 2892.00 111.000
45CN/27 37.8599014 -120.1719971 2930.00 291.000
46N/01 41.9809990 -73.8360977 323.00 1.000
46N/19 41.9883003 -73.8358994 316.00 181.000
47KS/35 38.7677994 -95.2750015 980.00 217.000
47Y/33 46.6371994 -96.1027985 1379.00 215.000
48Y/15 49.0036011 -95.9857025 1078.00 153.000
48Y/33 48.9956017 -95.9794006 1066.00 333.000
49MT/10 45.6091156 -109.1319580 3901.00 114.000
49MT/28 45.6023140 -109.1106033 3901.00 294.000
4AK6/08 61.6393750 -149.2948750 533.00 90.000
4AK6/26 61.6425020 -149.2669980 530.00 270.000
4B0/01 42.5572089 -73.8334649 184.58 353.000
4B0/19 42.5646019 -73.8345032 195.00 173.000
4C2/27 41.4314449 -84.9778071 900.00 300.500
4D8/09 43.3348007 -95.1631726 1436.98 90.000
4D8/27 43.3348007 -95.1538530 1436.13 270.000
4D8/18 43.3345985 -95.1602020 1434.00 180.000
4D8/36 43.3291016 -95.1602020 1435.00 234.000
4FA7/14 28.8073101 -82.1236420 39.00 141.000
4FA7/32 28.7987213 -82.1157532 39.00 321.000
4G1/05 41.4462342 -80.3918424 1202.00 41.000
4G1/23 41.4495010 -80.3880997 1202.00 221.000
4G1/15 41.4496994 -80.3945007 1162.00 141.000
4G1/33 41.4439011 -80.3881988 1202.00 321.000
4G3/09 40.9817915 -81.0467479 1056.68 91.000
4G3/27 40.9816155 -81.0379490 1065.91 271.000
4G7/23 39.4513016 -80.1640015 1009.00 217.000
4KA/08 60.5760002 -165.2769928 14.00 101.000
4KA/26 60.5750999 -165.2669983 11.00 281.000
4M5/01 33.4841003 -91.4441986 135.00 18.000
4M5/19 33.4917984 -91.4411011 135.00 198.000
4M8/18 34.6507504 -91.3941080 211.57 181.000
4M8/36 34.6445999 -91.3943024 205.00 1.000
4S5/17 48.6365311 -97.3973007 835.22 180.000
4V8/01 42.9235992 -72.8647995 1948.00 350.000
4V8/19 42.9306984 -72.8665009 1950.00 170.000
53K/17 38.6363125 -95.8018036 1093.10 180.000
54M/36 35.0498009 -89.5802994 305.00 193.100
54MU/17 40.3038420 -95.1127110 1007.00 173.000
54MU/35 40.2970250 -95.1116470 966.00 353.000
54XA/18 33.4948997 -97.2110977 802.00 180.000
54XA/36 33.4883003 -97.2110977 758.00 0.000
55G/25 43.2986984 -82.6023026 780.00 301.000
55G/36 43.2943001 -82.6075974 780.00 318.000
56G/27 43.5787010 -82.6404037 745.00 293.000
56S/34 46.0120010 -123.9079971 10.00 256.000
57B/19 44.3057219 -68.9134787 84.52 271.000
